"","CASE..","RIDESHARE","DATE","YEAR","MONTH","DAY","OFFENSE","ADDRESS","ZIP","ARREST"
"1179","2015-680073  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","6000 E BEN WHITE BLVD WB  ","78741","Yes"
"1180","2015-680096  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","3000 S 1ST ST  ","78704","Yes"
"1181","2015-680109  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","701 I-35 N  ","78702","Yes"
"1182","2015-680149  ","HERE",2015-03-09,2015,"Mar",9,"DWI 2ND  ","10001 I-35 N  ","78753","Yes"
"1183","2015-681087  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","6600 BOURG CV  ","78744","Yes"
"1184","2015-681651  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","100 BLOCK E 4TH ST  ","78701","Yes"
"1185","2015-681670  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","7201 I-35 N  ","78752","Yes"
"1186","2015-680268  ","HERE",2015-03-09,2015,"Mar",9,"DWI  ","1701 I-35 N  ","78702","No"
"1187","2015-690013  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","HARVEY ST at E MARTIN LUTHER KING JR BLVD  ","78722","Yes"
"1188","2015-690034  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","E WILLIAM CANNON DR at S IH 35 SVRD NB  ","78744","Yes"
"1189","2015-690118  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","2900 E 12TH ST  ","78702","Yes"
"1190","2015-690143  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","1100 BLOCK W 6TH ST  ","78703","Yes"
"1191","2015-691656  ","HERE",2015-03-10,2015,"Mar",10,"DWI 2ND  ","4401 WEST GATE BLVD  ","78735","Yes"
"1192","2015-691987  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","7100 CAMERON RD  ","78752","Yes"
"1193","2015-691992  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","1700 BLOCK W 6TH ST  ","78703","Yes"
"1194","2015-692011  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","2400 SAN GABRIEL ST  ","78705","Yes"
"1195","2015-690273  ","HERE",2015-03-10,2015,"Mar",10,"DWI  ","13700 N US 183 HWY SB  ","78750","No"
"1196","2015-692012  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","12100 RIATA TRACE PKWY  ","78727","Yes"
"1197","2015-700086  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","600 PRESSLER ST  ","78703","Yes"
"1198","2015-700090  ","HERE",2015-03-11,2015,"Mar",11,"DWI - DRUG RECOGNITION EXPERT  ","9900 OAK HOLLOW DR  ","78758","Yes"
"1199","2015-700093  ","HERE",2015-03-11,2015,"Mar",11,"DWI .15 BAC OR ABOVE  ","2900 BLOCK S IH 35 NB  ","78741","Yes"
"1200","2015-700105  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","11716 NATRONA DR  ","78759","Yes"
"1201","2015-700111  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","2100 BLOCK N IH 35 SB  ","78705","Yes"
"1202","2015-700170  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","2800 GUADALUPE ST  ","78705","Yes"
"1203","2015-700172  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","5812 DUVAL ST  ","78752","Yes"
"1204","2015-700173  ","HERE",2015-03-11,2015,"Mar",11,"DWI 2ND  ","7700 MANCHACA RD  ","78745","Yes"
"1205","2015-700226  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","13300 N US 183 HWY SB  ","78750","Yes"
"1206","2015-700257  ","HERE",2015-03-11,2015,"Mar",11,"DWI 2ND  ","7700 S MOPAC EXPY NB  ","78749","Yes"
"1207","2015-701249  ","HERE",2015-03-11,2015,"Mar",11,"DWI 2ND  ","THOMAS KINCHEON ST at DUNN ST  ","78745","Yes"
"1208","2015-701376  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","4100 W BRAKER LN  ","78759","Yes"
"1209","2015-701439  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","11301 I-35 N  ","78753","Yes"
"1210","2015-701774  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","11110 TOM ADAMS DR  ","78753","Yes"
"1211","2015-701823  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","1800 COLORADO ST  ","78701","Yes"
"1212","2015-701923  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","9800 RESEARCH BLVD SB  ","78759","Yes"
"1213","2015-701939  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","600 AUGUSTA AVE  ","78703","Yes"
"1214","2015-701969  ","HERE",2015-03-11,2015,"Mar",11,"DWI  ","900 S PLEASANT VALLEY RD  ","78741","Yes"
"1215","2015-701941  ","HERE",2015-03-12,2015,"Mar",12,"DWI .15 BAC OR ABOVE  ","2900 S CAPITAL OF TEXAS HWY NB  ","78746","Yes"
"1216","2015-710081  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","11100 BLOCK I-35 N  ","78753","Yes"
"1217","2015-710140  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","1200 S CONGRESS AVE  ","78704","Yes"
"1218","2015-710156  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","3200 STECK AVE  ","78757","Yes"
"1219","2015-710254  ","HERE",2015-03-12,2015,"Mar",12,"DWI 2ND  ","201 W BEN WHITE BLVD SVRD EB  ","78745","Yes"
"1220","2015-711498  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","3000 UNIVERSITY AVE  ","78705","Yes"
"1221","2015-712002  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","9600 RESEARCH BLVD SVRD NB  ","78759","Yes"
"1222","2015-712065  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","CAMPBELL ST at W 6TH ST  ","78703","Yes"
"1223","2015-712121  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","800 BLOCK W 6TH ST  ","78701","Yes"
"1224","2015-712143  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","BURNET RD at W ANDERSON LN  ","78757","Yes"
"1225","2015-712167  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","5400 CAMERON RD  ","78723","Yes"
"1226","2015-710126  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","2100 S IH 35 SVRD SB  ","78704","No"
"1227","2015-711696  ","HERE",2015-03-12,2015,"Mar",12,"DWI  ","10900 OLD SAN ANTONIO RD  ","78748","No"
"1228","2015-712097  ","HERE",2015-03-13,2015,"Mar",13,"DWI 2ND  ","BRODIE LN at W SLAUGHTER LN  ","78749","Yes"
"1229","2015-720098  ","HERE",2015-03-13,2015,"Mar",13,"DWI 2ND  ","500 E STASSNEY LN  ","78745","Yes"
"1230","2015-720115  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","MEMPHIS at LAKE AUSTIN BLVD  ","78703","Yes"
"1231","2015-720136  ","HERE",2015-03-13,2015,"Mar",13,"DWI .15 BAC OR ABOVE  ","2800 S IH 35 SB  ","78704","Yes"
"1232","2015-720146  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","12707 POND WOODS RD  ","78729","Yes"
"1233","2015-720180  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","1100 BLOCK OF W. 6TH STREET  ","N/A  ","Yes"
"1234","2015-720185  ","HERE",2015-03-13,2015,"Mar",13,"DWI .15 BAC OR ABOVE  ","6300 MIDDLE FISKVILLE RD  ","78752","Yes"
"1235","2015-720187  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","E 8TH ST at RED RIVER ST  ","78701","Yes"
"1236","2015-720216  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","2400 W 35TH ST  ","78731","Yes"
"1237","2015-720237  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","2100 N IH 35 SB  ","78705","Yes"
"1238","2015-720240  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","6263 MC NEIL DR  ","78727","Yes"
"1239","2015-720257  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","6200 BLOCK S IH 35 SVRD NB  ","78744","Yes"
"1240","2015-720327  ","HERE",2015-03-13,2015,"Mar",13,"DWI - DRUG RECOGNITION EXPERT  ","CAMERON RD at E US 290 HWY SVRD EB  ","78723","Yes"
"1241","2015-721771  ","HERE",2015-03-13,2015,"Mar",13,"DWI - DRUG RECOGNITION EXPERT  ","1100 BLOCK S PLEASANT VALLEY RD  ","78741","Yes"
"1242","2015-721811  ","HERE",2015-03-13,2015,"Mar",13,"DWI .15 BAC OR ABOVE  ","12221 N MOPAC EXPY SVRD NB  ","78758","Yes"
"1243","2015-721983  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","2000 YELLOW JACKET LN  ","78741","Yes"
"1244","2015-722027  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","3401 I-35 N  ","78705","Yes"
"1245","2015-722124  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","3500 BLOCK MANOR RD  ","78723","Yes"
"1246","2015-722310  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","WEST GATE BLVD at MANASSAS DR  ","78745","Yes"
"1247","2015-721745  ","HERE",2015-03-13,2015,"Mar",13,"DWI  ","PARKFIELD DR at PAYTON GIN RD  ","78758","No"
"1248","2015-722167  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","8400 S CONGRESS AVE  ","78748","Yes"
"1249","2015-730108  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","E 5TH ST at RED RIVER ST  ","78701","Yes"
"1250","2015-730124  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","W 25TH ST at SAN GABRIEL ST  ","78705","Yes"
"1251","2015-730127  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","4900 S 1ST ST  ","78745","Yes"
"1252","2015-730149  ","HERE",2015-03-14,2015,"Mar",14,"DWI 2ND  ","600 THERESA AVE  ","78703","Yes"
"1253","2015-730162  ","HERE",2015-03-14,2015,"Mar",14,"DWI .15 BAC OR ABOVE  ","I-35 N at E 11TH ST  ","78702","Yes"
"1254","2015-730183  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","3400 N IH 35 UPPER DECK SB  ","78705","Yes"
"1255","2015-730229  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","1100 W 6TH ST  ","78703","Yes"
"1256","2015-730312  ","HERE",2015-03-14,2015,"Mar",14,"DWI .15 BAC OR ABOVE  ","E 7TH ST at SPRINGDALE RD  ","78702","Yes"
"1257","2015-730316  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","14106 I-35 N  ","78728","Yes"
"1258","2015-730353  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","GEORGIAN DR at E POWELL LN  ","78753","Yes"
"1259","2015-730360  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","1600 WICKERSHAM LN  ","78741","Yes"
"1260","2015-730369  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","704 E ST JOHNS AVE  ","78752","Yes"
"1261","2015-730371  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","1800 PARKER LN  ","78741","Yes"
"1262","2015-730372  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","9607 RESEARCH BLVD SVRD NB  ","78759","Yes"
"1263","2015-730407  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","500 CANYON RIDGE DR  ","78753","Yes"
"1264","2015-730409  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","W 45TH ST at GUADALUPE ST  ","78751","Yes"
"1265","2015-730447  ","HERE",2015-03-14,2015,"Mar",14,"DWI 2ND  ","BRIARCLIFF BLVD at CAMERON RD  ","78723","Yes"
"1266","2015-731030  ","HERE",2015-03-14,2015,"Mar",14,"DWI 2ND  ","10200 BLOCK WOMMACK RD  ","78748","Yes"
"1267","2015-731197  ","HERE",2015-03-14,2015,"Mar",14,"DWI .15 BAC OR ABOVE  ","700 BLOCK E 7TH ST  ","78701","Yes"
"1268","2015-731253  ","HERE",2015-03-14,2015,"Mar",14,"DWI - DRUG RECOGNITION EXPERT  ","700 N LAMAR BLVD  ","78703","Yes"
"1269","2015-731638  ","HERE",2015-03-14,2015,"Mar",14,"DWI 2ND  ","10200 BLOCK WOMMACK RD  ","78748","Yes"
"1270","2015-731800  ","HERE",2015-03-14,2015,"Mar",14,"DWI 2ND  ","12900 BLOCK N US 183 HWY SB  ","78750","Yes"
"1271","2015-731828  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","7400 BLOCK N IH 35 SB  ","78752","Yes"
"1272","2015-731923  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","400 BLOCK TRINITY ST  ","78701","Yes"
"1273","2015-732003  ","HERE",2015-03-14,2015,"Mar",14,"DWI .15 BAC OR ABOVE  ","5500 BLOCK S IH 35 NB  ","78744","Yes"
"1274","2015-732119  ","HERE",2015-03-14,2015,"Mar",14,"DWI  ","800 W 6TH ST  ","78701","Yes"
"1275","2015-740139  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","7410 MC NEIL DR  ","78729","Yes"
"1276","2015-740176  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","1600 S CONGRESS AVE  ","78704","Yes"
"1277","2015-740190  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","9600 BLOCK E PARMER LN  ","78653","Yes"
"1278","2015-740202  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","3600 W PARMER LN  ","78727","Yes"
"1279","2015-740232  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","N IH 35 SERVICE SB AND MLK  ","N/A  ","Yes"
"1280","2015-740267  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","600 BLOCK E 12TH ST  ","78701","Yes"
"1281","2015-740271  ","HERE",2015-03-15,2015,"Mar",15,"DWI .15 BAC OR ABOVE  ","2400 S CONGRESS AVE  ","78704","Yes"
"1282","2015-740317  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","I-35 N at E RUNDBERG LN  ","78753","Yes"
"1283","2015-740328  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","8201 I-35 N  ","78753","Yes"
"1284","2015-740353  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","BERKMAN DR at GLENVALLEY DR  ","78723","Yes"
"1285","2015-740388  ","HERE",2015-03-15,2015,"Mar",15,"DWI .15 BAC OR ABOVE  ","2101 I-35 N  ","78722","Yes"
"1286","2015-740406  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","600 BLK DRISKELL ST  ","N/A  ","Yes"
"1287","2015-740447  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","9500 N CAPITAL OF TEXAS HWY NB  ","78759","Yes"
"1288","2015-740518  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","6500 BLOCK ED BLUESTEIN BLVD SB  ","78723","Yes"
"1289","2015-740550  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","13000 THOME VALLEY DR  ","N/A  ","Yes"
"1290","2015-740764  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","1500 W 35TH ST  ","78731","Yes"
"1291","2015-741393  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","6509 BLUFF SPRINGS RD  ","78744","Yes"
"1292","2015-741721  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","4400 ED BLUESTEIN BLVD NB  ","78725","Yes"
"1293","2015-741818  ","HERE",2015-03-15,2015,"Mar",15,"DWI .15 BAC OR ABOVE  ","5000 S IH 35 NB  ","78744","Yes"
"1294","2015-741818  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","5000 S IH 35 NB  ","78744","Yes"
"1295","2015-741959  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","3401 W PARMER LN  ","78727","Yes"
"1296","2015-741986  ","HERE",2015-03-15,2015,"Mar",15,"DWI 2ND  ","1003 WAGON TRL  ","78758","Yes"
"1297","2015-742062  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","1800 N IH 35 SB  ","78701","Yes"
"1298","2015-742073  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","2203 HANCOCK DR  ","78756","Yes"
"1299","2015-742090  ","HERE",2015-03-15,2015,"Mar",15,"DWI  ","BILBROOK PL at W SLAUGHTER LN  ","78748","Yes"
"1300","2015-742085  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","N CAP TX TO MOPAC NB RAMP/ N MOPAC EXPY NB  ","N/A  ","Yes"
"1301","2015-750013  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","9422 N LAMAR BLVD  ","78758","Yes"
"1302","2015-750090  ","HERE",2015-03-16,2015,"Mar",16,"DWI - DRUG RECOGNITION EXPERT  ","1700 E 2ND ST  ","78702","Yes"
"1303","2015-750114  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","S CONGRESS AVE at W BEN WHITE BLVD SVRD EB  ","78745","Yes"
"1304","2015-750173  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","6200 S IH 35 SVRD SB  ","78745","Yes"
"1305","2015-750196  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","I-35 N at E RUNDBERG LN  ","78753","Yes"
"1306","2015-750200  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","1515 WICKERSHAM LN  ","78741","Yes"
"1307","2015-750210  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","800 BLOCK S MOPAC EXPY SVRD SB  ","78746","Yes"
"1308","2015-750230  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","ED BLUESTEIN BLVD NB at LOYOLA LN  ","78724","Yes"
"1309","2015-750249  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","1900 VARGAS RD  ","78741","Yes"
"1310","2015-751425  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","400 CONGRESS AVE  ","78701","Yes"
"1311","2015-751644  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","7811 S 1ST ST  ","78745","Yes"
"1312","2015-751824  ","HERE",2015-03-16,2015,"Mar",16,"DWI  ","300 TRINITY ST  ","78701","Yes"
"1313","2015-760007  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","W WILLIAM CANNON DR at S CONGRESS AVE  ","78745","Yes"
"1314","2015-760026  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","12901 I-35 N  ","78753","Yes"
"1315","2015-760216  ","HERE",2015-03-17,2015,"Mar",17,"DWI .15 BAC OR ABOVE  ","2237 E RIVERSIDE DR  ","78741","Yes"
"1316","2015-760218  ","HERE",2015-03-17,2015,"Mar",17,"DWI 2ND  ","1600 W 6TH ST  ","78703","Yes"
"1317","2015-760242  ","HERE",2015-03-17,2015,"Mar",17,"DWI .15 BAC OR ABOVE  ","11100 N LAMAR BLVD  ","78758","Yes"
"1318","2015-760252  ","HERE",2015-03-17,2015,"Mar",17,"DWI .15 BAC OR ABOVE  ","7100 E US 290 HWY SVRD WB  ","78752","Yes"
"1319","2015-760280  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","5500 E OLTOFT ST  ","N/A  ","Yes"
"1320","2015-761706  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","6512 STARSTREAK DR  ","78745","Yes"
"1321","2015-761926  ","HERE",2015-03-17,2015,"Mar",17,"DWI .15 BAC OR ABOVE  ","7900 N MOPAC EXPY NB  ","78731","Yes"
"1322","2015-762077  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","600 LAVACA ST  ","78701","Yes"
"1323","2015-762114  ","HERE",2015-03-17,2015,"Mar",17,"DWI  ","3600 S CONGRESS AVE  ","78704","Yes"
"1324","2015-770126  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","7901 I-35 N  ","78753","Yes"
"1325","2015-770193  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","9300 S IH 35 SVRD SB  ","78748","Yes"
"1326","2015-770220  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","8500 RESEARCH BLVD SVRD SB  ","78757","Yes"
"1327","2015-770264  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","833 E 8TH ST  ","78702","Yes"
"1328","2015-770322  ","HERE",2015-03-18,2015,"Mar",18,"DWI .15 BAC OR ABOVE  ","9900 BLOCK N LAMAR BLVD  ","78758","Yes"
"1329","2015-771233  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","800 TIRADO ST  ","78752","Yes"
"1330","2015-771809  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","400 BLOCK E 5TH ST  ","78701","Yes"
"1331","2015-771936  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","12220 HUNTERS CHASE DR  ","78729","Yes"
"1332","2015-771950  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","4901 S 1ST ST  ","78745","Yes"
"1333","2015-772076  ","HERE",2015-03-18,2015,"Mar",18,"DWI .15 BAC OR ABOVE  ","10600 PARKFIELD DR  ","78758","Yes"
"1334","2015-772138  ","HERE",2015-03-18,2015,"Mar",18,"DWI  ","800 S MOPAC EXPY SVRD SB  ","78746","Yes"
"1335","2015-780131  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","1907 WEST LOOP  ","78758","Yes"
"1336","2015-780164  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","5526 I-35 N  ","78751","Yes"
"1337","2015-780194  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","2800 S 1ST ST  ","78704","Yes"
"1338","2015-780259  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","900 W 6TH ST  ","78703","Yes"
"1339","2015-780288  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","1000 BLOCK W SLAUGHTER LN  ","78748","Yes"
"1340","2015-781691  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","2200 S PLEASANT VALLEY RD  ","78741","Yes"
"1341","2015-782186  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","1400 S IH 35 SB  ","N/A  ","Yes"
"1342","2015-782337  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","1500 FOREST TRL  ","78703","Yes"
"1343","2015-782381  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","4700 BLOCK CANDLETREE LN  ","78744","Yes"
"1344","2015-782391  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","4800 CANDLETREE LN  ","78744","Yes"
"1345","2015-782402  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","W BRAKER LN at RESEARCH BLVD SVRD SB  ","78759","Yes"
"1346","2015-780197  ","HERE",2015-03-19,2015,"Mar",19,"DWI  ","2200 BLOCK S LAKESHORE BLVD  ","78741","No"
"1347","2015-782120  ","HERE",2015-03-20,2015,"Mar",20,"DWI 2ND  ","4500 CLAWSON RD  ","78745","Yes"
"1348","2015-790003  ","HERE",2015-03-20,2015,"Mar",20,"DWI 2ND  ","1800 S LAMAR BLVD  ","78704","Yes"
"1349","2015-790022  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","6900 AIRPORT BLVD  ","78752","Yes"
"1350","2015-790064  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","6000 N IH 35 SB  ","78751","Yes"
"1351","2015-790085  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","800 W 6TH ST  ","78701","Yes"
"1352","2015-790154  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","10800 BURNET RD  ","78758","Yes"
"1353","2015-790259  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","100 E 5TH ST  ","78701","Yes"
"1354","2015-790263  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","E 8TH ST at SAN JACINTO BLVD  ","78701","Yes"
"1355","2015-790272  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","1600 BLOCK E SH 71 EB  ","78719","Yes"
"1356","2015-790277  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","3460 S CONGRESS AVE  ","78704","Yes"
"1357","2015-790284  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","HAPPY HOLLOW LN at W 35TH ST  ","78703","Yes"
"1358","2015-790311  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","2800 E SH 71 WB  ","78617","Yes"
"1359","2015-790333  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","8612 MESA DR  ","78759","Yes"
"1360","2015-791879  ","HERE",2015-03-20,2015,"Mar",20,"DWI 2ND  ","2103 CONESTOGA TRL  ","78744","Yes"
"1361","2015-792045  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","2700 BLOCK BARTON SPRINGS RD  ","78746","Yes"
"1362","2015-792056  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","1700 BLOCK I-35 N  ","78701","Yes"
"1363","2015-792058  ","HERE",2015-03-20,2015,"Mar",20,"DWI .15 BAC OR ABOVE  ","W 6TH ST at WEST LYNN ST  ","78703","Yes"
"1364","2015-792060  ","HERE",2015-03-20,2015,"Mar",20,"DWI .15 BAC OR ABOVE  ","700 E 10TH ST  ","78701","Yes"
"1365","2015-792060  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","700 E 10TH ST  ","78701","Yes"
"1366","2015-792141  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","201 I-35 N  ","78701","Yes"
"1367","2015-792190  ","HERE",2015-03-20,2015,"Mar",20,"DWI  ","W BRAKER LN at KRAMER LN  ","78758","Yes"
"1368","2015-792210  ","HERE",2015-03-20,2015,"Mar",20,"DWI .15 BAC OR ABOVE  ","2000 E BEN WHITE BLVD EB  ","78744","Yes"
"1369","2015-800118  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","4500 PLACID PL  ","78731","Yes"
"1370","2015-800122  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","800 SPRINGDALE RD  ","78702","Yes"
"1371","2015-800139  ","HERE",2015-03-21,2015,"Mar",21,"DWI .15 BAC OR ABOVE  ","1800 BLOCK E STASSNEY LN  ","78744","Yes"
"1372","2015-800170  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","300 SAN JACINTO BLVD  ","78701","Yes"
"1373","2015-800178  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","912 BASTROP HWY SB  ","78741","Yes"
"1374","2015-800183  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","1500 BLOCK W RUNDBERG LN  ","78758","Yes"
"1375","2015-800196  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","9400 BLOCK N MOPAC EXPY NB  ","78759","Yes"
"1376","2015-800219  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","3100 S CONGRESS AVE  ","78704","Yes"
"1377","2015-800468  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","5808 BURNET RD  ","78756","Yes"
"1378","2015-800604  ","HERE",2015-03-21,2015,"Mar",21,"DWI - DRUG RECOGNITION EXPERT  ","2400 E WILLIAM CANNON DR  ","78744","Yes"
"1379","2015-800624  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","1149 AIRPORT BLVD  ","78721","Yes"
"1380","2015-801189  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","5701 HONEYBEE BND  ","78744","Yes"
"1381","2015-801495  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","S LAMAR BLVD NB at BARTON SPRINGS RD  ","78704","Yes"
"1382","2015-801514  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","4400 SPRINGDALE RD  ","78723","Yes"
"1383","2015-801525  ","HERE",2015-03-21,2015,"Mar",21,"DWI  ","7310 S CONGRESS AVE  ","78745","Yes"
"1384","2015-801525  ","HERE",2015-03-21,2015,"Mar",21,"DWI .15 BAC OR ABOVE  ","7310 S CONGRESS AVE  ","78745","Yes"
