Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
Mrs. Parkington,1944,17th Academy Awards,3/15/1945,Best Supporting Actress,,Agnes Moorehead,12/6/1900,44,
Since You Went Away,1944,17th Academy Awards,3/15/1945,Best Supporting Actress,,Jennifer Jones,3/2/1919,26,
Gaslight,1944,17th Academy Awards,3/15/1945,Best Supporting Actress,,Angela Lansbury,10/16/1925,19,
The Lost Weekend,1945,18th Academy Awards,3/7/1946,Best Actor,X,Ray Milland,1/3/1907,39,
The Bells of St. Mary's,1945,18th Academy Awards,3/7/1946,Best Actor,,Bing Crosby,5/3/1903,42,
Anchors Aweigh,1945,18th Academy Awards,3/7/1946,Best Actor,,Gene Kelly,8/23/1912,33,
A Song to Remember,1945,18th Academy Awards,3/7/1946,Best Actor,,Cornel Wilde,10/13/1912,33,
The Keys of the Kingdom,1945,18th Academy Awards,3/7/1946,Best Actor,,Gregory Peck,4/5/1916,29,
Mildred Pierce,1945,18th Academy Awards,3/7/1946,Best Actress,X,Joan Crawford,3/23/1904,41,
The Valley of Decision,1945,18th Academy Awards,3/7/1946,Best Actress,,Greer Garson,9/29/1904,41,
The Bells of St. Mary's,1945,18th Academy Awards,3/7/1946,Best Actress,,Ingrid Bergman,8/29/1915,30,
Love Letters,1945,18th Academy Awards,3/7/1946,Best Actress,,Jennifer Jones,3/2/1919,27,
Leave Her to Heaven,1945,18th Academy Awards,3/7/1946,Best Actress,,Gene Tierney,11/19/1920,25,
A Tree Grows in Brooklyn,1945,18th Academy Awards,3/7/1946,Best Supporting Actor,X,James Dunn,11/2/1901,44,
Spellbound,1945,18th Academy Awards,3/7/1946,Best Supporting Actor,,Michael Chekhov,8/29/1891,54,
A Medal for Benny,1945,18th Academy Awards,3/7/1946,Best Supporting Actor,,J. Carrol Naish,1/21/1896,50,
G.I. Joe,1945,18th Academy Awards,3/7/1946,Best Supporting Actor,,Robert Mitchum,8/6/1917,28,
The Corn Is Green,1945,18th Academy Awards,3/7/1946,Best Supporting Actor,,John Dall,5/26/1918,27,
National Velvet,1945,18th Academy Awards,3/7/1946,Best Supporting Actress,X,Anne Revere,6/25/1903,42,
Mildred Pierce,1945,18th Academy Awards,3/7/1946,Best Supporting Actress,,Eve Arden,4/30/1908,37,
The Picture of Dorian Gray,1945,18th Academy Awards,3/7/1946,Best Supporting Actress,,Angela Lansbury,10/16/1925,20,
The Corn Is Green,1945,18th Academy Awards,3/7/1946,Best Supporting Actress,,Joan Lorring,4/17/1926,19,
Mildred Pierce,1945,18th Academy Awards,3/7/1946,Best Supporting Actress,,Ann Blyth,8/16/1928,17,
The Best Years of Our Lives,1946,19th Academy Awards,3/13/1947,Best Actor,X,Fredric March,8/31/1897,49,
Henry V,1946,19th Academy Awards,3/13/1947,Best Actor,,Laurence Olivier,5/22/1907,39,
It's a Wonderful Life,1946,19th Academy Awards,3/13/1947,Best Actor,,James Stewart,5/20/1908,38,
The Jolson Story,1946,19th Academy Awards,3/13/1947,Best Actor,,Larry Parks,12/13/1914,32,
The Yearling,1946,19th Academy Awards,3/13/1947,Best Actor,,Gregory Peck,4/5/1916,30,
To Each His Own,1946,19th Academy Awards,3/13/1947,Best Actress,X,Olivia de Havilland,7/1/1916,30,
Sister Kenny,1946,19th Academy Awards,3/13/1947,Best Actress,,Rosalind Russell,6/4/1907,39,
Brief Encounter,1946,19th Academy Awards,3/13/1947,Best Actress,,Celia Johnson,12/18/1908,38,
The Yearling,1946,19th Academy Awards,3/13/1947,Best Actress,,Jane Wyman,1/5/1917,30,
Duel in the Sun,1946,19th Academy Awards,3/13/1947,Best Actress,,Jennifer Jones,3/2/1919,28,
The Best Years of Our Lives,1946,19th Academy Awards,3/13/1947,Best Supporting Actor,X,Harold Russell,1/14/1914,33,
The Green Years,1946,19th Academy Awards,3/13/1947,Best Supporting Actor,,Charles Coburn,6/19/1877,69,
Notorious,1946,19th Academy Awards,3/13/1947,Best Supporting Actor,,Claude Rains,11/10/1889,57,
The Razor's Edge,1946,19th Academy Awards,3/13/1947,Best Supporting Actor,,Clifton Webb,11/19/1889,57,
The Jolson Story,1946,19th Academy Awards,3/13/1947,Best Supporting Actor,,William Demarest,2/27/1892,55,
The Razor's Edge,1946,19th Academy Awards,3/13/1947,Best Supporting Actress,X,Anne Baxter,5/7/1923,23,
The Spiral Staircase,1946,19th Academy Awards,3/13/1947,Best Supporting Actress,,Ethel Barrymore,8/15/1879,67,
Duel in the Sun,1946,19th Academy Awards,3/13/1947,Best Supporting Actress,,Lillian Gish,10/14/1893,53,
Anna and the King of Siam,1946,19th Academy Awards,3/13/1947,Best Supporting Actress,,Gale Sondergaard,2/15/1899,48,
Saratoga Trunk,1946,19th Academy Awards,3/13/1947,Best Supporting Actress,,Flora Robson,3/28/1902,44,
A Double Life,1947,20th Academy Awards,3/20/1948,Best Actor,X,Ronald Colman,2/9/1891,57,
Life with Father,1947,20th Academy Awards,3/20/1948,Best Actor,,William Powell,7/29/1892,55,
Mourning Becomes Electra,1947,20th Academy Awards,3/20/1948,Best Actor,,Michael Redgrave,3/20/1908,40,
Body and Soul,1947,20th Academy Awards,3/20/1948,Best Actor,,John Garfield,3/4/1913,35,
Gentleman's Agreement,1947,20th Academy Awards,3/20/1948,Best Actor,,Gregory Peck,4/5/1916,31,
The Farmer's Daughter,1947,20th Academy Awards,3/20/1948,Best Actress,X,Loretta Young,1/6/1913,35,
Possessed,1947,20th Academy Awards,3/20/1948,Best Actress,,Joan Crawford,3/23/1904,44,
Mourning Becomes Electra,1947,20th Academy Awards,3/20/1948,Best Actress,,Rosalind Russell,6/4/1907,40,
Gentleman's Agreement,1947,20th Academy Awards,3/20/1948,Best Actress,,Dorothy McGuire,6/14/1916,31,
Smash-Up: The Story of a Woman,1947,20th Academy Awards,3/20/1948,Best Actress,,Susan Hayward,6/30/1917,30,
Miracle on 34th Street,1947,20th Academy Awards,3/20/1948,Best Supporting Actor,X,Edmund Gwenn,9/26/1877,70,
The Farmer's Daughter,1947,20th Academy Awards,3/20/1948,Best Supporting Actor,,Charles Bickford,1/1/1891,57,
Ride the Pink Horse,1947,20th Academy Awards,3/20/1948,Best Supporting Actor,,Thomas Gomez,7/10/1905,42,
Crossfire,1947,20th Academy Awards,3/20/1948,Best Supporting Actor,,Robert Ryan,11/11/1909,38,
Kiss of Death,1947,20th Academy Awards,3/20/1948,Best Supporting Actor,,Richard Widmark,12/26/1914,33,
Gentleman's Agreement,1947,20th Academy Awards,3/20/1948,Best Supporting Actress,X,Celeste Holm,4/29/1917,30,
The Paradine Case,1947,20th Academy Awards,3/20/1948,Best Supporting Actress,,Ethel Barrymore,8/15/1879,68,
The Egg and I,1947,20th Academy Awards,3/20/1948,Best Supporting Actress,,Marjorie Main,2/24/1890,58,
Gentleman's Agreement,1947,20th Academy Awards,3/20/1948,Best Supporting Actress,,Anne Revere,6/25/1903,44,
Crossfire,1947,20th Academy Awards,3/20/1948,Best Supporting Actress,,Gloria Grahame,11/28/1923,24,
Hamlet,1948,21st Academy Awards,3/24/1949,Best Actor,X,Laurence Olivier,5/22/1907,41,
Sitting Pretty,1948,21st Academy Awards,3/24/1949,Best Actor,,Clifton Webb,11/19/1889,59,
Johnny Belinda,1948,21st Academy Awards,3/24/1949,Best Actor,,Lew Ayres,12/28/1908,40,
When My Baby Smiles at Me,1948,21st Academy Awards,3/24/1949,Best Actor,,Dan Dailey,12/14/1915,33,
The Search,1948,21st Academy Awards,3/24/1949,Best Actor,,Montgomery Clift,10/17/1920,28,
Johnny Belinda,1948,21st Academy Awards,3/24/1949,Best Actress,X,Jane Wyman,1/5/1917,32,
I Remember Mama,1948,21st Academy Awards,3/24/1949,Best Actress,,Irene Dunne,12/20/1898,50,
"Sorry, Wrong Number",1948,21st Academy Awards,3/24/1949,Best Actress,,Barbara Stanwyck,7/16/1907,41,
Joan of Arc,1948,21st Academy Awards,3/24/1949,Best Actress,,Ingrid Bergman,8/29/1915,33,
The Snake Pit,1948,21st Academy Awards,3/24/1949,Best Actress,,Olivia de Havilland,7/1/1916,32,
The Treasure of the Sierra Madre,1948,21st Academy Awards,3/24/1949,Best Supporting Actor,X,Walter Huston,4/5/1883,66,
The Luck of the Irish,1948,21st Academy Awards,3/24/1949,Best Supporting Actor,,Cecil Kellaway,8/22/1890,58,
Johnny Belinda,1948,21st Academy Awards,3/24/1949,Best Supporting Actor,,Charles Bickford,1/1/1891,58,
I Remember Mama,1948,21st Academy Awards,3/24/1949,Best Supporting Actor,,Oscar Homolka,8/12/1898,50,
Joan of Arc,1948,21st Academy Awards,3/24/1949,Best Supporting Actor,,José Ferrer,1/8/1912,37,
Key Largo,1948,21st Academy Awards,3/24/1949,Best Supporting Actress,X,Claire Trevor,3/8/1910,39,
Johnny Belinda,1948,21st Academy Awards,3/24/1949,Best Supporting Actress,,Agnes Moorehead,12/6/1900,48,
I Remember Mama,1948,21st Academy Awards,3/24/1949,Best Supporting Actress,,Ellen Corby,6/3/1911,37,
I Remember Mama,1948,21st Academy Awards,3/24/1949,Best Supporting Actress,,Barbara Bel Geddes,10/31/1922,26,
Hamlet,1948,21st Academy Awards,3/24/1949,Best Supporting Actress,,Jean Simmons,1/31/1929,20,
All the King's Men,1949,22nd Academy Awards,3/23/1950,Best Actor,X,Broderick Crawford,12/11/1911,38,
Sands of Iwo Jima,1949,22nd Academy Awards,3/23/1950,Best Actor,,John Wayne,5/26/1907,42,
Twelve O'Clock High,1949,22nd Academy Awards,3/23/1950,Best Actor,,Gregory Peck,4/5/1916,33,
Champion,1949,22nd Academy Awards,3/23/1950,Best Actor,,Kirk Douglas,12/9/1916,33,
The Hasty Heart,1949,22nd Academy Awards,3/23/1950,Best Actor,,Richard Todd,6/11/1919,30,
The Heiress,1949,22nd Academy Awards,3/23/1950,Best Actress,X,Olivia de Havilland,7/1/1916,33,
Come to the Stable,1949,22nd Academy Awards,3/23/1950,Best Actress,,Loretta Young,1/6/1913,37,
My Foolish Heart,1949,22nd Academy Awards,3/23/1950,Best Actress,,Susan Hayward,6/30/1917,32,
"Edward, My Son",1949,22nd Academy Awards,3/23/1950,Best Actress,,Deborah Kerr,9/30/1921,28,
Pinky,1949,22nd Academy Awards,3/23/1950,Best Actress,,Jeanne Crain,5/25/1925,24,
Twelve O'Clock High,1949,22nd Academy Awards,3/23/1950,Best Supporting Actor,X,Dean Jagger,11/7/1903,46,
The Heiress,1949,22nd Academy Awards,3/23/1950,Best Supporting Actor,,Ralph Richardson,12/19/1902,47,
All the King's Men,1949,22nd Academy Awards,3/23/1950,Best Supporting Actor,,John Ireland,1/30/1914,36,
Champion,1949,22nd Academy Awards,3/23/1950,Best Supporting Actor,,Arthur Kennedy,2/17/1914,36,
Battleground,1949,22nd Academy Awards,3/23/1950,Best Supporting Actor,,James Whitmore,10/1/1921,28,
All the King's Men,1949,22nd Academy Awards,3/23/1950,Best Supporting Actress,X,Mercedes McCambridge,3/16/1916,34,
Pinky,1949,22nd Academy Awards,3/23/1950,Best Supporting Actress,,Ethel Barrymore,8/15/1879,70,
Pinky,1949,22nd Academy Awards,3/23/1950,Best Supporting Actress,,Ethel Waters,10/31/1896,53,
Come to the Stable,1949,22nd Academy Awards,3/23/1950,Best Supporting Actress,,Elsa Lanchester,10/28/1902,47,
Come to the Stable,1949,22nd Academy Awards,3/23/1950,Best Supporting Actress,,Celeste Holm,4/29/1917,32,
Cyrano De Bergerac,1950,23rd Academy Awards,3/29/1951,Best Actor,X,José Ferrer,1/8/1912,39,
The Magnificent Yankee,1950,23rd Academy Awards,3/29/1951,Best Actor,,Louis Calhern,2/19/1895,56,
Father of the Bride,1950,23rd Academy Awards,3/29/1951,Best Actor,,Spencer Tracy,4/5/1900,51,
Harvey,1950,23rd Academy Awards,3/29/1951,Best Actor,,James Stewart,5/20/1908,42,
Sunset Blvd.,1950,23rd Academy Awards,3/29/1951,Best Actor,,William Holden,4/17/1918,32,
Born Yesterday,1950,23rd Academy Awards,3/29/1951,Best Actress,X,Judy Holliday,6/21/1921,29,
Sunset Blvd.,1950,23rd Academy Awards,3/29/1951,Best Actress,,Gloria Swanson,3/27/1899,52,
All About Eve,1950,23rd Academy Awards,3/29/1951,Best Actress,,Bette Davis,4/5/1908,43,
Caged,1950,23rd Academy Awards,3/29/1951,Best Actress,,Eleanor Parker,6/26/1922,28,
All About Eve,1950,23rd Academy Awards,3/29/1951,Best Actress,,Anne Baxter,5/7/1923,27,
All About Eve,1950,23rd Academy Awards,3/29/1951,Best Supporting Actor,X,George Sanders,7/3/1906,44,
Mister 880,1950,23rd Academy Awards,3/29/1951,Best Supporting Actor,,Edmund Gwenn,9/26/1877,73,
Sunset Blvd.,1950,23rd Academy Awards,3/29/1951,Best Supporting Actor,,Erich von Stroheim,9/22/1885,65,
The Asphalt Jungle,1950,23rd Academy Awards,3/29/1951,Best Supporting Actor,,Sam Jaffe,3/10/1891,60,
Broken Arrow,1950,23rd Academy Awards,3/29/1951,Best Supporting Actor,,Jeff Chandler,12/15/1918,32,
Harvey,1950,23rd Academy Awards,3/29/1951,Best Supporting Actress,X,Josephine Hull,1/3/1886,65,
Caged,1950,23rd Academy Awards,3/29/1951,Best Supporting Actress,,Hope Emerson,10/29/1897,53,
All About Eve,1950,23rd Academy Awards,3/29/1951,Best Supporting Actress,,Thelma Ritter,2/14/1902,49,
All About Eve,1950,23rd Academy Awards,3/29/1951,Best Supporting Actress,,Celeste Holm,4/29/1917,33,
Sunset Blvd.,1950,23rd Academy Awards,3/29/1951,Best Supporting Actress,,Nancy Olson,7/14/1928,22,
The African Queen,1951,24th Academy Awards,3/20/1952,Best Actor,X,Humphrey Bogart,12/25/1899,52,
Death of a Salesman,1951,24th Academy Awards,3/20/1952,Best Actor,,Fredric March,8/31/1897,54,
Bright Victory,1951,24th Academy Awards,3/20/1952,Best Actor,,Arthur Kennedy,2/17/1914,38,
A Place in the Sun,1951,24th Academy Awards,3/20/1952,Best Actor,,Montgomery Clift,10/17/1920,31,
A Streetcar Named Desire,1951,24th Academy Awards,3/20/1952,Best Actor,,Marlon Brando,4/3/1924,27,
A Streetcar Named Desire,1951,24th Academy Awards,3/20/1952,Best Actress,X,Vivien Leigh,11/5/1913,38,
The African Queen,1951,24th Academy Awards,3/20/1952,Best Actress,,Katharine Hepburn,5/12/1907,44,
The Blue Veil,1951,24th Academy Awards,3/20/1952,Best Actress,,Jane Wyman,1/5/1917,35,
A Place in the Sun,1951,24th Academy Awards,3/20/1952,Best Actress,,Shelley Winters,8/18/1920,31,
Detective Story,1951,24th Academy Awards,3/20/1952,Best Actress,,Eleanor Parker,6/26/1922,29,
A Streetcar Named Desire,1951,24th Academy Awards,3/20/1952,Best Supporting Actor,X,Karl Malden,3/22/1912,40,
Quo Vadis,1951,24th Academy Awards,3/20/1952,Best Supporting Actor,,Leo Genn,8/9/1905,46,
Come Fill the Cup,1951,24th Academy Awards,3/20/1952,Best Supporting Actor,,Gig Young,11/4/1913,38,
Death of a Salesman,1951,24th Academy Awards,3/20/1952,Best Supporting Actor,,Kevin McCarthy,2/15/1914,38,
Quo Vadis,1951,24th Academy Awards,3/20/1952,Best Supporting Actor,,Peter Ustinov,4/16/1921,30,
A Streetcar Named Desire,1951,24th Academy Awards,3/20/1952,Best Supporting Actress,X,Kim Hunter,11/12/1922,29,
Death of a Salesman,1951,24th Academy Awards,3/20/1952,Best Supporting Actress,,Mildred Dunnock,1/25/1901,51,
The Mating Season,1951,24th Academy Awards,3/20/1952,Best Supporting Actress,,Thelma Ritter,2/14/1902,50,
The Blue Veil,1951,24th Academy Awards,3/20/1952,Best Supporting Actress,,Joan Blondell,8/30/1906,45,
Detective Story,1951,24th Academy Awards,3/20/1952,Best Supporting Actress,,Lee Grant,10/31/1925,26,
High Noon,1952,25th Academy Awards,3/19/1953,Best Actor,X,Gary Cooper,5/7/1901,51,
Moulin Rouge,1952,25th Academy Awards,3/19/1953,Best Actor,,José Ferrer,1/8/1912,41,
The Lavender Hill Mob,1952,25th Academy Awards,3/19/1953,Best Actor,,Alec Guinness,4/2/1914,38,
The Bad and the Beautiful,1952,25th Academy Awards,3/19/1953,Best Actor,,Kirk Douglas,12/9/1916,36,
Viva Zapata!,1952,25th Academy Awards,3/19/1953,Best Actor,,Marlon Brando,4/3/1924,28,
"Come Back, Little Sheba",1952,25th Academy Awards,3/19/1953,Best Actress,X,Shirley Booth,8/30/1898,54,
Sudden Fear,1952,25th Academy Awards,3/19/1953,Best Actress,,Joan Crawford,3/23/1904,49,
The Star,1952,25th Academy Awards,3/19/1953,Best Actress,,Bette Davis,4/5/1908,44,
With a Song in My Heart,1952,25th Academy Awards,3/19/1953,Best Actress,,Susan Hayward,6/30/1917,35,
The Member of the Wedding,1952,25th Academy Awards,3/19/1953,Best Actress,,Julie Harris,12/2/1925,27,
Viva Zapata!,1952,25th Academy Awards,3/19/1953,Best Supporting Actor,X,Anthony Quinn,4/21/1915,37,
The Quiet Man,1952,25th Academy Awards,3/19/1953,Best Supporting Actor,,Victor McLaglen,12/10/1886,66,
The Big Sky,1952,25th Academy Awards,3/19/1953,Best Supporting Actor,,Arthur Hunnicutt,2/17/1910,43,
Sudden Fear,1952,25th Academy Awards,3/19/1953,Best Supporting Actor,,Jack Palance,2/18/1919,34,
My Cousin Rachel,1952,25th Academy Awards,3/19/1953,Best Supporting Actor,,Richard Burton,11/10/1925,27,
The Bad and the Beautiful,1952,25th Academy Awards,3/19/1953,Best Supporting Actress,X,Gloria Grahame,11/28/1923,29,
With a Song in My Heart,1952,25th Academy Awards,3/19/1953,Best Supporting Actress,,Thelma Ritter,2/14/1902,51,
Singin' in the Rain,1952,25th Academy Awards,3/19/1953,Best Supporting Actress,,Jean Hagen,8/3/1923,29,
Moulin Rouge,1952,25th Academy Awards,3/19/1953,Best Supporting Actress,,Colette Marchand,4/29/1925,27,
"Come Back, Little Sheba",1952,25th Academy Awards,3/19/1953,Best Supporting Actress,,Terry Moore,1/7/1929,24,
Stalag 17,1953,26th Academy Awards,3/25/1954,Best Actor,X,William Holden,4/17/1918,35,
From Here to Eternity,1953,26th Academy Awards,3/25/1954,Best Actor,,Burt Lancaster,11/2/1913,40,
From Here to Eternity,1953,26th Academy Awards,3/25/1954,Best Actor,,Montgomery Clift,10/17/1920,33,
Julius Caesar,1953,26th Academy Awards,3/25/1954,Best Actor,,Marlon Brando,4/3/1924,29,
The Robe,1953,26th Academy Awards,3/25/1954,Best Actor,,Richard Burton,11/10/1925,28,
Roman Holiday,1953,26th Academy Awards,3/25/1954,Best Actress,X,Audrey Hepburn,5/4/1929,24,
From Here to Eternity,1953,26th Academy Awards,3/25/1954,Best Actress,,Deborah Kerr,9/30/1921,32,
Mogambo,1953,26th Academy Awards,3/25/1954,Best Actress,,Ava Gardner,12/24/1922,31,
The Moon Is Blue,1953,26th Academy Awards,3/25/1954,Best Actress,,Maggie McNamara,6/18/1928,25,
Lili,1953,26th Academy Awards,3/25/1954,Best Actress,,Leslie Caron,7/1/1931,22,
From Here to Eternity,1953,26th Academy Awards,3/25/1954,Best Supporting Actor,X,Frank Sinatra,12/12/1915,38,
Roman Holiday,1953,26th Academy Awards,3/25/1954,Best Supporting Actor,,Eddie Albert,4/22/1906,47,
Stalag 17,1953,26th Academy Awards,3/25/1954,Best Supporting Actor,,Robert Strauss,11/8/1913,40,
Shane,1953,26th Academy Awards,3/25/1954,Best Supporting Actor,,Jack Palance,2/18/1919,35,
Shane,1953,26th Academy Awards,3/25/1954,Best Supporting Actor,,Brandon De Wilde,4/9/1942,11,
From Here to Eternity,1953,26th Academy Awards,3/25/1954,Best Supporting Actress,X,Donna Reed,1/27/1921,33,
Torch Song,1953,26th Academy Awards,3/25/1954,Best Supporting Actress,,Marjorie Rambeau,7/15/1889,64,
Pickup on South Street,1953,26th Academy Awards,3/25/1954,Best Supporting Actress,,Thelma Ritter,2/14/1902,52,
Hondo,1953,26th Academy Awards,3/25/1954,Best Supporting Actress,,Geraldine Page,11/22/1924,29,
Mogambo,1953,26th Academy Awards,3/25/1954,Best Supporting Actress,,Grace Kelly,11/12/1929,24,
On the Waterfront,1954,27th Academy Awards,3/30/1955,Best Actor,X,Marlon Brando,4/3/1924,31,
The Caine Mutiny,1954,27th Academy Awards,3/30/1955,Best Actor,,Humphrey Bogart,12/25/1899,55,
The Country Girl,1954,27th Academy Awards,3/30/1955,Best Actor,,Bing Crosby,5/3/1903,51,
A Star Is Born,1954,27th Academy Awards,3/30/1955,Best Actor,,James Mason,5/15/1909,45,
Adventures of Robinson Crusoe,1954,27th Academy Awards,3/30/1955,Best Actor,,Dan O'Herlihy,5/1/1919,35,
The Country Girl,1954,27th Academy Awards,3/30/1955,Best Actress,X,Grace Kelly,11/12/1929,25,
Magnificent Obsession,1954,27th Academy Awards,3/30/1955,Best Actress,,Jane Wyman,1/5/1917,38,
A Star Is Born,1954,27th Academy Awards,3/30/1955,Best Actress,,Judy Garland,6/10/1922,32,
Carmen Jones,1954,27th Academy Awards,3/30/1955,Best Actress,,Dorothy Dandridge,11/9/1922,32,
Sabrina,1954,27th Academy Awards,3/30/1955,Best Actress,,Audrey Hepburn,5/4/1929,25,
The Barefoot Contessa,1954,27th Academy Awards,3/30/1955,Best Supporting Actor,X,Edmond O'Brien,9/10/1915,39,
The Caine Mutiny,1954,27th Academy Awards,3/30/1955,Best Supporting Actor,,Tom Tully,8/21/1908,46,
On the Waterfront,1954,27th Academy Awards,3/30/1955,Best Supporting Actor,,Lee J. Cobb,12/8/1911,43,
On the Waterfront,1954,27th Academy Awards,3/30/1955,Best Supporting Actor,,Karl Malden,3/22/1912,43,
On the Waterfront,1954,27th Academy Awards,3/30/1955,Best Supporting Actor,,Rod Steiger,4/14/1925,29,
On the Waterfront,1954,27th Academy Awards,3/30/1955,Best Supporting Actress,X,Eva Marie Saint,7/4/1924,30,
The High and the Mighty,1954,27th Academy Awards,3/30/1955,Best Supporting Actress,,Claire Trevor,3/8/1910,45,
The High and the Mighty,1954,27th Academy Awards,3/30/1955,Best Supporting Actress,,Jan Sterling,4/3/1921,34,
Broken Lance,1954,27th Academy Awards,3/30/1955,Best Supporting Actress,,Katy Jurado,1/16/1924,31,
Executive Suite,1954,27th Academy Awards,3/30/1955,Best Supporting Actress,,Nina Foch,4/20/1924,30,
Marty,1955,28th Academy Awards,3/21/1956,Best Actor,X,Ernest Borgnine,1/24/1917,39,
Love Me or Leave Me,1955,28th Academy Awards,3/21/1956,Best Actor,,James Cagney,7/17/1899,56,
Bad Day at Black Rock,1955,28th Academy Awards,3/21/1956,Best Actor,,Spencer Tracy,4/5/1900,55,
The Man with the Golden Arm,1955,28th Academy Awards,3/21/1956,Best Actor,,Frank Sinatra,12/12/1915,40,
East of Eden,1955,28th Academy Awards,3/21/1956,Best Actor,,James Dean,2/8/1931,25,
The Rose Tattoo,1955,28th Academy Awards,3/21/1956,Best Actress,X,Anna Magnani,3/7/1908,48,
Summertime,1955,28th Academy Awards,3/21/1956,Best Actress,,Katharine Hepburn,5/12/1907,48,
I'll Cry Tomorrow,1955,28th Academy Awards,3/21/1956,Best Actress,,Susan Hayward,6/30/1917,38,
Love Is a Many-Splendored Thing,1955,28th Academy Awards,3/21/1956,Best Actress,,Jennifer Jones,3/2/1919,37,
Interrupted Melody,1955,28th Academy Awards,3/21/1956,Best Actress,,Eleanor Parker,6/26/1922,33,
Mister Roberts,1955,28th Academy Awards,3/21/1956,Best Supporting Actor,X,Jack Lemmon,2/8/1925,31,
Picnic,1955,28th Academy Awards,3/21/1956,Best Supporting Actor,,Arthur O'Connell,3/29/1908,48,
Trial,1955,28th Academy Awards,3/21/1956,Best Supporting Actor,,Arthur Kennedy,2/17/1914,42,
Marty,1955,28th Academy Awards,3/21/1956,Best Supporting Actor,,Joe Mantell,12/21/1915,40,
Rebel Without a Cause,1955,28th Academy Awards,3/21/1956,Best Supporting Actor,,Sal Mineo,1/10/1939,17,
East of Eden,1955,28th Academy Awards,3/21/1956,Best Supporting Actress,X,Jo Van Fleet,12/30/1914,41,
Pete Kelly's Blues,1955,28th Academy Awards,3/21/1956,Best Supporting Actress,,Peggy Lee,5/26/1920,35,
Marty,1955,28th Academy Awards,3/21/1956,Best Supporting Actress,,Betsy Blair,12/11/1923,32,
The Rose Tattoo,1955,28th Academy Awards,3/21/1956,Best Supporting Actress,,Marisa Pavan,6/19/1932,23,
Rebel Without a Cause,1955,28th Academy Awards,3/21/1956,Best Supporting Actress,,Natalie Wood,7/20/1938,17,
The King and I,1956,29th Academy Awards,3/27/1957,Best Actor,X,Yul Brynner,7/11/1920,36,
Richard III,1956,29th Academy Awards,3/27/1957,Best Actor,,Laurence Olivier,5/22/1907,49,
Lust for Life,1956,29th Academy Awards,3/27/1957,Best Actor,,Kirk Douglas,12/9/1916,40,
Giant,1956,29th Academy Awards,3/27/1957,Best Actor,,Rock Hudson,11/17/1925,31,
Giant,1956,29th Academy Awards,3/27/1957,Best Actor,,James Dean,2/8/1931,26,
Anastasia,1956,29th Academy Awards,3/27/1957,Best Actress,X,Ingrid Bergman,8/29/1915,41,
The Rainmaker,1956,29th Academy Awards,3/27/1957,Best Actress,,Katharine Hepburn,5/12/1907,49,
The Bad Seed,1956,29th Academy Awards,3/27/1957,Best Actress,,Nancy Kelly,3/25/1921,36,
The King and I,1956,29th Academy Awards,3/27/1957,Best Actress,,Deborah Kerr,9/30/1921,35,
Baby Doll,1956,29th Academy Awards,3/27/1957,Best Actress,,Carroll Baker,5/28/1931,25,
Lust for Life,1956,29th Academy Awards,3/27/1957,Best Supporting Actor,X,Anthony Quinn,4/21/1915,41,
Written on the Wind,1956,29th Academy Awards,3/27/1957,Best Supporting Actor,,Robert Stack,1/13/1919,38,
The Bold and the Brave,1956,29th Academy Awards,3/27/1957,Best Supporting Actor,,Mickey Rooney,9/23/1920,36,
Bus Stop,1956,29th Academy Awards,3/27/1957,Best Supporting Actor,,Don Murray,7/31/1929,27,
Friendly Persuasion,1956,29th Academy Awards,3/27/1957,Best Supporting Actor,,Anthony Perkins,4/4/1932,24,
Written on the Wind,1956,29th Academy Awards,3/27/1957,Best Supporting Actress,X,Dorothy Malone,1/30/1925,32,
Baby Doll,1956,29th Academy Awards,3/27/1957,Best Supporting Actress,,Mildred Dunnock,1/25/1901,56,
Giant,1956,29th Academy Awards,3/27/1957,Best Supporting Actress,,Mercedes McCambridge,3/16/1916,41,
The Bad Seed,1956,29th Academy Awards,3/27/1957,Best Supporting Actress,,Eileen Heckart,3/29/1919,38,
The Bad Seed,1956,29th Academy Awards,3/27/1957,Best Supporting Actress,,Patty McCormack,8/21/1945,11,
The Bridge on the River Kwai,1957,30th Academy Awards,3/26/1958,Best Actor,X,Alec Guinness,4/2/1914,44,
Witness for the Prosecution,1957,30th Academy Awards,3/26/1958,Best Actor,,Charles Laughton,7/1/1899,58,
Wild Is the Wind,1957,30th Academy Awards,3/26/1958,Best Actor,,Anthony Quinn,4/21/1915,42,
Sayonara,1957,30th Academy Awards,3/26/1958,Best Actor,,Marlon Brando,4/3/1924,34,
A Hatful of Rain,1957,30th Academy Awards,3/26/1958,Best Actor,,Anthony Franciosa,10/25/1928,29,
The Three Faces of Eve,1957,30th Academy Awards,3/26/1958,Best Actress,X,Joanne Woodward,2/27/1930,28,
Wild Is the Wind,1957,30th Academy Awards,3/26/1958,Best Actress,,Anna Magnani,3/7/1908,50,
Peyton Place,1957,30th Academy Awards,3/26/1958,Best Actress,,Lana Turner,2/8/1921,37,
"Heaven Knows, Mr. Allison",1957,30th Academy Awards,3/26/1958,Best Actress,,Deborah Kerr,9/30/1921,36,
Raintree County,1957,30th Academy Awards,3/26/1958,Best Actress,,Elizabeth Taylor,2/27/1932,26,
