CASE..,RIDESHARE,DATE,YEAR,MONTH,DAY,OFFENSE,ADDRESS,ZIP,ARREST
2015-2791928  ,HERE,2015-10-06  ,2015,10,6,DWI  ,W 5TH ST at NUECES ST  ,78701,Yes
2015-2800021  ,HERE,2015-10-07  ,2015,10,7,DWI  ,1000 BLOCK S IH 35 SVRD SB  ,78704,Yes
2015-2800040  ,HERE,2015-10-07  ,2015,10,7,DWI  ,600 BLOCK I-35 N  ,78701,Yes
2015-2800071  ,HERE,2015-10-07  ,2015,10,7,DWI  ,800 W 6TH ST  ,78701,Yes
2015-2800098  ,HERE,2015-10-07  ,2015,10,7,DWI  ,1700 W 6TH ST  ,78703,Yes
2015-2800109  ,HERE,2015-10-07  ,2015,10,7,DWI  ,6100 E OLTORF ST  ,78741,Yes
2015-2800145  ,HERE,2015-10-07  ,2015,10,7,DWI  ,1400 RUTLAND DR  ,78758,Yes
2015-2800169  ,HERE,2015-10-07  ,2015,10,7,DWI  ,E 7TH ST at SAN JACINTO BLVD  ,78701,Yes
2015-2800172  ,HERE,2015-10-07  ,2015,10,7,DWI  ,30 BLOCK S IH 35 SVRD SB  ,78704,Yes
2015-2801629  ,HERE,2015-10-07  ,2015,10,7,DWI 2ND  ,8400 BURNET RD  ,78757,Yes
2015-2801791  ,HERE,2015-10-07  ,2015,10,7,DWI  ,800 W 6TH ST  ,78701,Yes
2015-6900610  ,HERE,2015-10-07  ,2015,10,7,DWI  ,7300 E RIVERSIDE DR  ,78741,Yes
2015-2810030  ,HERE,2015-10-08  ,2015,10,8,DWI  ,E 7TH ST at I-35 N  ,78702,Yes
2015-2810040  ,HERE,2015-10-08  ,2015,10,8,DWI .15 BAC OR ABOVE  ,100 BLOCK S 1ST ST  ,78704,Yes
2015-2810040  ,HERE,2015-10-08  ,2015,10,8,DWI 2ND  ,100 BLOCK S 1ST ST  ,78704,Yes
2015-2810072  ,HERE,2015-10-08  ,2015,10,8,DWI  ,3800 BLOCK N IH 35 UPPER DECK NB  ,78722,Yes
2015-2810076  ,HERE,2015-10-08  ,2015,10,8,DWI  ,5300 BLOCK S IH 35 SB  ,78745,Yes
2015-2810093  ,HERE,2015-10-08  ,2015,10,8,DWI  ,2500 S IH 35 SB  ,78704,Yes
2015-2810124  ,HERE,2015-10-08  ,2015,10,8,DWI  ,5300 S IH 35 SVRD NB  ,78744,Yes
2015-2810145  ,HERE,2015-10-08  ,2015,10,8,DWI  ,2800 GUADALUPE ST  ,78705,Yes
2015-2810149  ,HERE,2015-10-08  ,2015,10,8,DWI .15 BAC OR ABOVE  ,1600 W 5TH ST  ,78703,Yes
2015-2810149  ,HERE,2015-10-08  ,2015,10,8,DWI  ,1600 W 5TH ST  ,78703,Yes
2015-2810553  ,HERE,2015-10-08  ,2015,10,8,DWI  ,9002 SPRING LAKE DR  ,78750,Yes
2015-2811578  ,HERE,2015-10-08  ,2015,10,8,DWI  ,15200 AVERY RANCH BLVD  ,78717,Yes
2015-2811700  ,HERE,2015-10-08  ,2015,10,8,DWI  ,2200 ANDREW ZILKER RD  ,78746,Yes
2015-2811783  ,HERE,2015-10-08  ,2015,10,8,DWI  ,1101 I-35 N  ,78702,Yes
2015-2811819  ,HERE,2015-10-08  ,2015,10,8,DWI  ,12300 RIATA TRACE PKWY  ,78727,Yes
2015-2811885  ,HERE,2015-10-08  ,2015,10,8,DWI  ,1400 E ST JOHNS AVE  ,78752,Yes
2015-2811958  ,HERE,2015-10-08  ,2015,10,8,DWI  ,10 N IH 35 SB  ,78701,Yes
2015-2820007  ,HERE,2015-10-09  ,2015,10,9,DWI  ,BARTON SPRINGS RD at ROBERT E LEE RD  ,78704,Yes
2015-2820129  ,HERE,2015-10-09  ,2015,10,9,DWI  ,2801 W ANDERSON LN  ,78757,Yes
2015-2820143  ,HERE,2015-10-09  ,2015,10,9,DWI  ,700 BARTON SPRINGS RD  ,78704,Yes
2015-2820171  ,HERE,2015-10-09  ,2015,10,9,DWI  ,12680 TECH RIDGE BLVD  ,78753,Yes
2015-2820181  ,HERE,2015-10-09  ,2015,10,9,DWI .15 BAC OR ABOVE  ,5300 BLOCK S IH 35 SB  ,78745,Yes
2015-2820181  ,HERE,2015-10-09  ,2015,10,9,DWI  ,5300 BLOCK S IH 35 SB  ,78745,Yes
2015-2820186  ,HERE,2015-10-09  ,2015,10,9,DWI  ,1500 BLOCK N IH 35 SB  ,78701,Yes
2015-2820236  ,HERE,2015-10-09  ,2015,10,9,DWI  ,2900 BLOCK ED BLUESTEIN BLVD SB  ,78721,Yes
2015-2820290  ,HERE,2015-10-09  ,2015,10,9,DWI  ,11200 BLOCK I-35 N  ,78753,Yes
2015-2821615  ,HERE,2015-10-09  ,2015,10,9,DWI  ,700 E 7TH ST  ,78701,Yes
2015-2821802  ,HERE,2015-10-09  ,2015,10,9,DWI .15 BAC OR ABOVE  ,3848 AIRPORT BLVD  ,78722,Yes
2015-2821942  ,HERE,2015-10-09  ,2015,10,9,DWI .15 BAC OR ABOVE  ,700 BLOCK S MOPAC EXPY SB  ,78746,Yes
2015-2821965  ,HERE,2015-10-09  ,2015,10,9,DWI  ,7517 CAMERON RD  ,78752,Yes
2015-2822057  ,HERE,2015-10-09  ,2015,10,9,DWI 2ND  ,1900 BLOCK E BEN WHITE BLVD SVRD EB  ,78744,Yes
2015-2830112  ,HERE,2015-10-10  ,2015,10,10,DWI 2ND  ,1700 W DITTMAR RD  ,78745,Yes
2015-2830160  ,HERE,2015-10-10  ,2015,10,10,DWI  ,400 ED BLUESTEIN BLVD NB  ,78725,Yes
2015-2830198  ,HERE,2015-10-10  ,2015,10,10,DWI 2ND  ,RESEARCH BLVD SVRD NB at ANDERSON SQ  ,78758,Yes
2015-2830198  ,HERE,2015-10-10  ,2015,10,10,DWI  ,RESEARCH BLVD SVRD NB at ANDERSON SQ  ,78758,Yes
2015-2830330  ,HERE,2015-10-10  ,2015,10,10,DWI  ,GRANT FOREST DR at OUTWOOD MILL LN  ,78744,Yes
2015-2830548  ,HERE,2015-10-10  ,2015,10,10,DWI  ,500 W 46TH ST  ,78751,Yes
2015-2830961  ,HERE,2015-10-10  ,2015,10,10,DWI  ,14051 I-35 N  ,78660,Yes
2015-2831011  ,HERE,2015-10-10  ,2015,10,10,DWI  ,6300 S IH 35 SB  ,78745,Yes
2015-2831226  ,HERE,2015-10-10  ,2015,10,10,DWI  ,N LAMAR BLVD at FAIRFIELD DR  ,78753,Yes
2015-2831294  ,HERE,2015-10-10  ,2015,10,10,DWI  ,8500 N LAMAR BLVD  ,78758,Yes
2015-2831294  ,HERE,2015-10-10  ,2015,10,10,DWI - DRUG RECOGNITION EXPERT  ,8500 N LAMAR BLVD  ,78758,Yes
2015-2831339  ,HERE,2015-10-10  ,2015,10,10,DWI .15 BAC OR ABOVE  ,11501 BURNET RD  ,78758,Yes
2015-2831423  ,HERE,2015-10-10  ,2015,10,10,DWI  ,800 BLOCK E RUNDBERG LN  ,78753,Yes
2015-2831540  ,HERE,2015-10-10  ,2015,10,10,DWI - DRUG RECOGNITION EXPERT  ,1000 E 41ST ST  ,78751,Yes
2015-2831540  ,HERE,2015-10-10  ,2015,10,10,DWI  ,1000 E 41ST ST  ,78751,Yes
2015-2831703  ,HERE,2015-10-10  ,2015,10,10,DWI  ,400 W WILLIAM CANNON DR  ,78745,Yes
2015-2831720  ,HERE,2015-10-10  ,2015,10,10,DWI .15 BAC OR ABOVE  ,8400 BEECH DR  ,78758,Yes
2015-2831844  ,HERE,2015-10-10  ,2015,10,10,DWI  ,501 I-35 N  ,78701,Yes
2015-2840059  ,HERE,2015-10-11  ,2015,10,11,DWI  ,SPICEWOOD SPRINGS RD at N CAPITAL OF TEXAS HWY NB  ,78759,Yes
2015-2840071  ,HERE,2015-10-11  ,2015,10,11,DWI  ,7500 BLOCK S IH 35 SB  ,78745,Yes
2015-2840137  ,HERE,2015-10-11  ,2015,10,11,DWI  ,5600 LIBYAN CIR  ,78745,Yes
2015-2840191  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,800 CUMBERLAND RD  ,78704,Yes
2015-2840210  ,HERE,2015-10-11  ,2015,10,11,DWI  ,2200 BLOCK E OLTORF ST  ,78741,Yes
2015-2840240  ,HERE,2015-10-11  ,2015,10,11,DWI  ,1900 E SH 71 EB  ,78719,Yes
2015-2840276  ,HERE,2015-10-11  ,2015,10,11,DWI  ,34 N PLEASANT VALLEY RD  ,78702,Yes
2015-2840312  ,HERE,2015-10-11  ,2015,10,11,DWI .15 BAC OR ABOVE  ,8501 S 1ST ST  ,78748,Yes
2015-2840329  ,HERE,2015-10-11  ,2015,10,11,DWI  ,PARKWOOD RD at AIRPORT BLVD  ,78722,Yes
2015-2840352  ,HERE,2015-10-11  ,2015,10,11,DWI  ,W MARY ST at S 1ST ST  ,78704,Yes
2015-2840379  ,HERE,2015-10-11  ,2015,10,11,DWI  ,12900 BLOCK N US 183 HWY NB  ,78729,Yes
2015-2840474  ,HERE,2015-10-11  ,2015,10,11,DWI  ,10700 WATERING ROCK LN  ,78759,Yes
2015-2840535  ,HERE,2015-10-11  ,2015,10,11,DWI  ,6300 ED BLUESTEIN BLVD SB  ,78723,Yes
2015-2840626  ,HERE,2015-10-11  ,2015,10,11,DWI  ,7700 BLOCK W SH 71  ,78735,Yes
2015-2840626  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,7700 BLK SH 71 EB  ,N/A  ,Yes
2015-2841222  ,HERE,2015-10-11  ,2015,10,11,DWI - DRUG RECOGNITION EXPERT  ,I-35 N at E ST JOHNS AVE  ,78752,Yes
2015-2841222  ,HERE,2015-10-11  ,2015,10,11,DWI  ,I-35 N at E ST JOHNS AVE  ,78752,Yes
2015-2841621  ,HERE,2015-10-11  ,2015,10,11,DWI  ,2234 E BEN WHITE BLVD SVRD WB  ,78741,Yes
2015-2841707  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,12600 N LAMAR BLVD  ,78753,Yes
2015-2841713  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,2400 E 12TH ST  ,78702,Yes
2015-2841741  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,901 S MOPAC EXPY SVRD NB  ,78746,Yes
2015-2841796  ,HERE,2015-10-11  ,2015,10,11,DWI 2ND  ,5300 E RIVERSIDE DR  ,78741,Yes
2015-2841796  ,HERE,2015-10-11  ,2015,10,11,DWI  ,5300 E RIVERSIDE DR  ,78741,Yes
2015-2841909  ,HERE,2015-10-11  ,2015,10,11,DWI  ,I-35 N at E 53RD ST  ,78751,Yes
2015-2850051  ,HERE,2015-10-12  ,2015,10,12,DWI  ,600 SAN JACINTO BLVD  ,78701,Yes
2015-2850072  ,HERE,2015-10-12  ,2015,10,12,DWI 2ND  ,500 BLOCK TRINITY ST  ,78701,Yes
2015-2850084  ,HERE,2015-10-12  ,2015,10,12,DWI  ,3400 E SH 71 EB  ,78617,Yes
2015-2850102  ,HERE,2015-10-12  ,2015,10,12,DWI  ,5100 BLOCK S IH 35 SVRD SB  ,78745,Yes
2015-2850119  ,HERE,2015-10-12  ,2015,10,12,DWI  ,S IH 35 SVRD SB at WOODWARD ST  ,78704,Yes
2015-2850159  ,HERE,2015-10-12  ,2015,10,12,DWI  ,700 E 7TH ST  ,78701,Yes
2015-2850161  ,HERE,2015-10-12  ,2015,10,12,DWI  ,5900 BLOCK I-35 N  ,78723,Yes
2015-2850165  ,HERE,2015-10-12  ,2015,10,12,DWI  ,7801 I-35 N  ,78753,Yes
2015-2850192  ,HERE,2015-10-12  ,2015,10,12,DWI .15 BAC OR ABOVE  ,OAK SPRINGS DR at SPRINGDALE RD  ,78721,Yes
2015-2850862  ,HERE,2015-10-12  ,2015,10,12,DWI - DRUG RECOGNITION EXPERT  ,3500 N LAMAR BLVD  ,78705,Yes
2015-2850862  ,HERE,2015-10-12  ,2015,10,12,DWI 2ND  ,3500 N LAMAR BLVD  ,78705,Yes
2015-2850999  ,HERE,2015-10-12  ,2015,10,12,DWI .15 BAC OR ABOVE  ,13717 BURNET RD  ,78727,Yes
2015-2851396  ,HERE,2015-10-12  ,2015,10,12,DWI  ,2215 E 51ST ST  ,78723,Yes
2015-2851425  ,HERE,2015-10-12  ,2015,10,12,DWI  ,W SLAUGHTER LN at ALICE MAE LN  ,78748,Yes
2015-2851627  ,HERE,2015-10-12  ,2015,10,12,DWI  ,7902 ROSENBERRY DR  ,78747,Yes
2015-2851641  ,HERE,2015-10-12  ,2015,10,12,DWI 2ND  ,N MOPAC EXPY SB at RESEARCH TO N MOPAC SB RAMP  ,78759,Yes
2015-2851641  ,HERE,2015-10-12  ,2015,10,12,DWI .15 BAC OR ABOVE  ,N MOPAC EXPY SB at RESEARCH TO N MOPAC SB RAMP  ,78759,Yes
2015-2851811  ,HERE,2015-10-12  ,2015,10,12,DWI  ,S IH 35 SVRD SB at E OLTORF ST  ,78704,Yes
2015-2860106  ,HERE,2015-10-13  ,2015,10,13,DWI  ,3848 AIRPORT BLVD  ,78722,Yes
2015-2860123  ,HERE,2015-10-13  ,2015,10,13,DWI .15 BAC OR ABOVE  ,4900 BLOCK S 1ST ST  ,78745,Yes
2015-2860128  ,HERE,2015-10-13  ,2015,10,13,DWI  ,SABINE ST at E 5TH ST  ,78701,Yes
2015-2861876  ,HERE,2015-10-13  ,2015,10,13,DWI  ,8824 KIMONO RIDGE DR  ,78748,Yes
2015-2861909  ,HERE,2015-10-13  ,2015,10,13,DWI - DRUG RECOGNITION EXPERT  ,2600 W ANDERSON LN  ,78757,Yes
2015-2861909  ,HERE,2015-10-13  ,2015,10,13,DWI  ,2600 W ANDERSON LN  ,78757,Yes
2015-2861954  ,HERE,2015-10-13  ,2015,10,13,DWI  ,1936 E OLTORF ST  ,78741,Yes
2015-2861968  ,HERE,2015-10-13  ,2015,10,13,DWI  ,E 4TH ST at SABINE ST  ,78701,Yes
2015-2861973  ,HERE,2015-10-13  ,2015,10,13,DWI 2ND  ,2800 BLOCK W 45TH ST  ,78731,Yes
2015-2861989  ,HERE,2015-10-13  ,2015,10,13,DWI  ,1600 W CESAR CHAVEZ ST  ,78703,Yes
2015-2862041  ,HERE,2015-10-13  ,2015,10,13,DWI 2ND  ,804 JUSTIN LN  ,78757,Yes
2015-2862094  ,HERE,2015-10-13  ,2015,10,13,DWI 2ND  ,100 W 2ND ST  ,78701,Yes
2015-2862019  ,HERE,2015-10-14  ,2015,10,14,DWI  ,129 W OLTORF ST  ,78704,Yes
2015-2870082  ,HERE,2015-10-14  ,2015,10,14,DWI  ,1100 W 6TH ST  ,78703,Yes
2015-2870091  ,HERE,2015-10-14  ,2015,10,14,DWI  ,E 7TH ST at TRINITY ST  ,78701,Yes
2015-2870104  ,HERE,2015-10-14  ,2015,10,14,DWI  ,2314 QUICKSILVER BLVD  ,78744,Yes
2015-2870124  ,HERE,2015-10-14  ,2015,10,14,DWI  ,E 7TH ST at BRAZOS ST  ,78701,Yes
2015-2870127  ,HERE,2015-10-14  ,2015,10,14,DWI  ,2200 LAKE AUSTIN BLVD  ,78703,Yes
2015-2870927  ,HERE,2015-10-14  ,2015,10,14,DWI  ,6001 BLOCK W PARMER LN  ,78727,Yes
2015-2871023  ,HERE,2015-10-14  ,2015,10,14,DWI - DRUG RECOGNITION EXPERT  ,1800 BLOCK SCOFIELD RIDGE PKWY  ,78727,Yes
2015-2871023  ,HERE,2015-10-14  ,2015,10,14,DWI  ,1800 BLOCK SCOFIELD RIDGE PKWY  ,78727,Yes
2015-2871551  ,HERE,2015-10-14  ,2015,10,14,DWI 2ND  ,6000 MC NEIL DR  ,N/A  ,Yes
2015-2871832  ,HERE,2015-10-14  ,2015,10,14,DWI 2ND  ,ANDERSON LANE/SHOAL CREEK BLVD  ,N/A  ,Yes
2015-2871965  ,HERE,2015-10-14  ,2015,10,14,DWI .15 BAC OR ABOVE  ,400 S LAMAR BLVD NB  ,78704,Yes
2015-2871992  ,HERE,2015-10-14  ,2015,10,14,DWI 2ND  ,1503 BECKETT ST  ,78757,Yes
2015-2871992  ,HERE,2015-10-14  ,2015,10,14,DWI  ,1503 BECKETT ST  ,78757,Yes
2015-2872035  ,HERE,2015-10-14  ,2015,10,14,DWI  ,E 45TH ST at AIRPORT BLVD  ,78751,Yes
2015-2872037  ,HERE,2015-10-14  ,2015,10,14,DWI  ,TOWN CREEK DR at E RIVERSIDE DR  ,78741,Yes
2015-2872037  ,HERE,2015-10-14  ,2015,10,14,DWI - DRUG RECOGNITION EXPERT  ,TOWN CREEK DR at E RIVERSIDE DR  ,78741,Yes
2015-2870203  ,HERE,2015-10-14  ,2015,10,14,DWI  ,2700 BLOCK S IH 35 NB  ,78741,No
2015-2880027  ,HERE,2015-10-15  ,2015,10,15,DWI 2ND  ,12900 POND SPRINGS RD  ,78729,Yes
2015-2880036  ,HERE,2015-10-15  ,2015,10,15,DWI  ,9300 BLOCK S MOPAC EXPY SB  ,78739,Yes
2015-2880069  ,HERE,2015-10-15  ,2015,10,15,DWI  ,9500 BLOCK I-35 N  ,78753,Yes
2015-2880092  ,HERE,2015-10-15  ,2015,10,15,DWI  ,800 BLOCK W 6TH ST  ,78701,Yes
2015-2880107  ,HERE,2015-10-15  ,2015,10,15,DWI  ,5300 BLOCK S IH 35 SVRD SB  ,78745,Yes
2015-2880122  ,HERE,2015-10-15  ,2015,10,15,DWI  ,404 W CESAR CHAVEZ ST  ,78701,Yes
2015-2880141  ,HERE,2015-10-15  ,2015,10,15,DWI  ,E ST JOHNS AVE at I-35 N  ,78752,Yes
2015-2880169  ,HERE,2015-10-15  ,2015,10,15,DWI  ,100 W BEN WHITE BLVD EB  ,78745,Yes
2015-2881062  ,HERE,2015-10-15  ,2015,10,15,DWI  ,1507 BLOCK HOUSTON ST  ,78756,Yes
2015-2881738  ,HERE,2015-10-15  ,2015,10,15,DWI 2ND  ,HANCOCK DR at BULL CREEK RD  ,78731,Yes
2015-2881802  ,HERE,2015-10-15  ,2015,10,15,DWI 2ND  ,3707 MANCHACA RD  ,78704,Yes
2015-2881844  ,HERE,2015-10-15  ,2015,10,15,DWI  ,2100 BLOCK N MOPAC EXPY SB  ,78703,Yes
2015-2881847  ,HERE,2015-10-15  ,2015,10,15,DWI - DRUG RECOGNITION EXPERT  ,7400 ED BLUESTEIN BLVD SB  ,78723,Yes
2015-2881974  ,HERE,2015-10-15  ,2015,10,15,DWI  ,1900 E SH 71 WB  ,78617,Yes
2015-2881978  ,HERE,2015-10-15  ,2015,10,15,DWI  ,2300 BLOCK WICKERSHAM LN  ,78741,Yes
2015-2882027  ,HERE,2015-10-15  ,2015,10,15,DWI  ,1200 BLOCK BARBARA JORDAN BLVD  ,78723,Yes
2015-2882027  ,HERE,2015-10-15  ,2015,10,15,DWI .15 BAC OR ABOVE  ,1200 BLOCK BARBARA JORDAN BLVD  ,78723,Yes
2015-2882036  ,HERE,2015-10-15  ,2015,10,15,DWI  ,E OLTORF AND BURTON DR  ,N/A  ,Yes
2015-2882064  ,HERE,2015-10-15  ,2015,10,15,DWI  ,1700 BLOCK N LAMAR BLVD  ,78701,Yes
2015-2890022  ,HERE,2015-10-16  ,2015,10,16,DWI 2ND  ,E 8TH ST at SAN SABA ST  ,78702,Yes
2015-2890071  ,HERE,2015-10-16  ,2015,10,16,DWI - DRUG RECOGNITION EXPERT  ,100 E RIVERSIDE DR  ,78704,Yes
2015-2890071  ,HERE,2015-10-16  ,2015,10,16,DWI  ,100 E RIVERSIDE DR  ,78704,Yes
2015-2890077  ,HERE,2015-10-16  ,2015,10,16,DWI  ,W STASSNEY LN at EMERALD FOREST DR  ,78745,Yes
2015-2890118  ,HERE,2015-10-16  ,2015,10,16,DWI .15 BAC OR ABOVE  ,N PLEASANT VALLEY RD at LYONS RD  ,78702,Yes
2015-2890199  ,HERE,2015-10-16  ,2015,10,16,DWI 2ND  ,8100 BLOCK RESEARCH BLVD NB  ,78758,Yes
2015-2891776  ,HERE,2015-10-16  ,2015,10,16,DWI  ,BILBROOK PL at W SLAUGHTER LN  ,78748,Yes
2015-2891983  ,HERE,2015-10-16  ,2015,10,16,DWI  ,1200 BLOCK W 6TH ST  ,78703,Yes
2015-2891992  ,HERE,2015-10-16  ,2015,10,16,DWI 2ND  ,1600 E OLTORF ST  ,78741,Yes
2015-2892060  ,HERE,2015-10-16  ,2015,10,16,DWI 2ND  ,S US 183 HWY NB at METROPOLIS DR  ,78719,Yes
2015-2892063  ,HERE,2015-10-16  ,2015,10,16,DWI  ,4508 I-35 N  ,78751,Yes
2015-2892125  ,HERE,2015-10-16  ,2015,10,16,DWI  ,100 BLOCK E RIVERSIDE DR  ,78704,Yes
2015-2892175  ,HERE,2015-10-16  ,2015,10,16,DWI  ,E WILLIAM CANNON DR at STONLEIGH PL  ,78744,Yes
2015-2900084  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,S 1ST ST at W RIVERSIDE DR  ,78704,Yes
2015-2900142  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,500 BLOCK W ANDERSON LN SVRD WB  ,78753,Yes
2015-2900155  ,HERE,2015-10-17  ,2015,10,17,DWI  ,1100 W RIVERSIDE DR  ,78704,Yes
2015-2900156  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,8900 S CONGRESS AVE  ,78748,Yes
2015-2900158  ,HERE,2015-10-17  ,2015,10,17,DWI  ,IH 35 SVRD SB at HWY 290 SVRD SB  ,N/A  ,Yes
2015-2900241  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,8900 S CONGRESS AVE  ,78748,Yes
2015-2900298  ,HERE,2015-10-17  ,2015,10,17,DWI  ,3500 BLOCK N MOPAC EXPY NB  ,78703,Yes
2015-2900324  ,HERE,2015-10-17  ,2015,10,17,DWI  ,E 7TH ST at WALLER ST  ,78702,Yes
2015-2900325  ,HERE,2015-10-17  ,2015,10,17,DWI  ,200 BLOCK CONGRESS AVE  ,78701,Yes
2015-2900343  ,HERE,2015-10-17  ,2015,10,17,DWI  ,E WILLIAM CANNON DR at ROCKRIDGE DR  ,78744,Yes
2015-2900381  ,HERE,2015-10-17  ,2015,10,17,DWI  ,E WILLIAM CANNON DR at ROCKRIDGE DR  ,78744,Yes
2015-2901033  ,HERE,2015-10-17  ,2015,10,17,DWI  ,7000 BLOCK S MOPAC EXPY SB  ,78749,Yes
2015-2901234  ,HERE,2015-10-17  ,2015,10,17,DWI  ,5600 E RIVERSIDE DR  ,78741,Yes
2015-2901310  ,HERE,2015-10-17  ,2015,10,17,DWI  ,11160 JOLLYVILLE RD  ,78759,Yes
2015-2901310  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,11160 JOLLYVILLE RD  ,78759,Yes
2015-2901700  ,HERE,2015-10-17  ,2015,10,17,DWI  ,W DITTMAR RD at S 1ST ST  ,78745,Yes
2015-2901715  ,HERE,2015-10-17  ,2015,10,17,DWI  ,6600 RIVER PLACE BLVD  ,78730,Yes
2015-2901829  ,HERE,2015-10-17  ,2015,10,17,DWI  ,2700 MONTOPOLIS DR  ,78741,Yes
2015-2901832  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,3200 BLOCK NORTHEAST DR  ,78723,Yes
2015-2901985  ,HERE,2015-10-17  ,2015,10,17,DWI 2ND  ,3300 E CESAR CHAVEZ ST  ,78702,Yes
2015-2901999  ,HERE,2015-10-17  ,2015,10,17,DWI  ,11700 BLK RESEARCH BLVD NB SERV  ,N/A  ,Yes
2015-2910026  ,HERE,2015-10-18  ,2015,10,18,DWI  ,3000 E CESAR CHAVEZ ST  ,78702,Yes
2015-2910105  ,HERE,2015-10-18  ,2015,10,18,DWI  ,9900 S IH 35 SVRD SB  ,78748,Yes
2015-2910144  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,1900 WICKERSHAM LN  ,78741,Yes
2015-2910190  ,HERE,2015-10-18  ,2015,10,18,DWI  ,8200 BLOCK N LAMAR BLVD  ,78758,Yes
2015-2910214  ,HERE,2015-10-18  ,2015,10,18,DWI 2ND  ,113 SABINE ST  ,78701,Yes
2015-2910227  ,HERE,2015-10-18  ,2015,10,18,DWI  ,5300 LOYOLA LN  ,78723,Yes
2015-2910275  ,HERE,2015-10-18  ,2015,10,18,DWI  ,700 BLOCK E BEN WHITE BLVD EB  ,78745,Yes
2015-2910277  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,8110 FM 2222 RD  ,78750,Yes
2015-2910351  ,HERE,2015-10-18  ,2015,10,18,DWI  ,E 9TH ST at TRINITY ST  ,78701,Yes
2015-2910430  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,800 W 26TH ST  ,78705,Yes
2015-2910430  ,HERE,2015-10-18  ,2015,10,18,DWI  ,800 W 26TH ST  ,78705,Yes
2015-2910450  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,2320 S IH 35 SVRD SB  ,78704,Yes
2015-2910459  ,HERE,2015-10-18  ,2015,10,18,DWI  ,5101 JOHNNY MORRIS RD  ,78724,Yes
2015-2910468  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,2000 E 7TH ST  ,78702,Yes
2015-2911391  ,HERE,2015-10-18  ,2015,10,18,DWI  ,12000 BLOCK I-35 N  ,78753,Yes
2015-2911468  ,HERE,2015-10-18  ,2015,10,18,DWI - DRUG RECOGNITION EXPERT  ,5800 TECHNI CENTER DR  ,78721,Yes
2015-2911603  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,9200 BLOCK N LAMAR BLVD  ,78758,Yes
2015-2911622  ,HERE,2015-10-18  ,2015,10,18,DWI  ,5510 S CONGRESS AVE  ,78745,Yes
2015-2911656  ,HERE,2015-10-18  ,2015,10,18,DWI  ,2900 W 45TH ST  ,78731,Yes
2015-2911666  ,HERE,2015-10-18  ,2015,10,18,DWI  ,4012 WAREHOUSE ROW  ,78704,Yes
2015-2911686  ,HERE,2015-10-18  ,2015,10,18,DWI  ,6001 I-35 N  ,78723,Yes
2015-2911697  ,HERE,2015-10-18  ,2015,10,18,DWI  ,5400 BLOCK E WILLIAM CANNON DR  ,78744,Yes
2015-2911697  ,HERE,2015-10-18  ,2015,10,18,DWI .15 BAC OR ABOVE  ,5400 BLOCK E WILLIAM CANNON DR  ,78744,Yes
2015-2911709  ,HERE,2015-10-18  ,2015,10,18,DWI 2ND  ,E CESAR CHAVEZ ST at I-35 N  ,78701,Yes
2015-2911775  ,HERE,2015-10-18  ,2015,10,18,DWI  ,W SLAUGHTER LN at S IH 35 SVRD SB  ,78745,Yes
2015-2920070  ,HERE,2015-10-19  ,2015,10,19,DWI 2ND  ,RED RIVER ST at DAVIS ST  ,78701,Yes
2015-2920072  ,HERE,2015-10-19  ,2015,10,19,DWI  ,1300 E OLTORF ST  ,78704,Yes
2015-2920077  ,HERE,2015-10-19  ,2015,10,19,DWI 2ND  ,1400 HARTFORD RD  ,78703,Yes
2015-2920082  ,HERE,2015-10-19  ,2015,10,19,DWI  ,10500 LAKELINE MALL DR  ,78717,Yes
2015-2920139  ,HERE,2015-10-19  ,2015,10,19,DWI  ,E 6TH ST at TRINITY ST  ,78701,Yes
2015-2920142  ,HERE,2015-10-19  ,2015,10,19,DWI  ,400 E 6TH ST  ,78701,Yes
2015-2920196  ,HERE,2015-10-19  ,2015,10,19,DWI  ,11400 ALTERRA PKWY  ,78758,Yes
2015-2920229  ,HERE,2015-10-19  ,2015,10,19,DWI  ,9801 I-35 N  ,78753,Yes
2015-2920516  ,HERE,2015-10-19  ,2015,10,19,DWI 2ND  ,S PLEASANT VALLEY RD at E RIVERSIDE DR  ,78741,Yes
